gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,some college,free/reduced,completed,68,67,66
male,group B,some college,standard,none,63,70,76
female,group D,associate's degree,standard,none,98,100,85
female,group A,bachelor's degree,standard,none,67,73,77
male,group E,some high school,free/reduced,completed,54,64,61
male,group C,associate's degree,free/reduced,none,73,74,52
female,group C,high school,standard,completed,76,88,80
female,group C,bachelor's degree,standard,none,77,72,76
female,group D,associate's degree,standard,none,91,84,84
female,group C,some college,free/reduced,none,29,42,39
female,group D,associate's degree,standard,none,32,27,45
male,group C,high school,standard,completed,67,70,70
female,group B,some college,standard,completed,96,83,92
male,group E,bachelor's degree,standard,completed,60,61,62
male,group D,some college,free/reduced,none,20,28,37
male,group D,high school,free/reduced,none,72,68,58
female,group E,some college,free/reduced,completed,69,73,75
male,group E,bachelor's degree,standard,completed,65,63,69
male,group D,high school,standard,none,58,71,59
female,group D,some high school,standard,none,60,66,47
male,group D,associate's degree,free/reduced,completed,85,69,64
male,group D,bachelor's degree,standard,none,72,77,66
female,group C,some high school,standard,none,80,70,71
male,group D,high school,standard,none,32,35,40
male,group B,some high school,free/reduced,none,42,51,41
male,group E,high school,standard,completed,62,59,68
female,group E,some college,free/reduced,completed,65,76,83
female,group A,associate's degree,standard,none,59,67,61
female,group D,associate's degree,standard,none,81,79,71
male,group B,associate's degree,standard,none,52,42,45
male,group C,high school,standard,none,72,64,66
female,group D,bachelor's degree,standard,none,84,72,83
male,group B,some college,standard,none,95,93,86
male,group D,master's degree,standard,none,68,65,79
female,group D,associate's degree,free/reduced,none,64,70,62
female,group C,some high school,standard,none,38,53,31
male,group A,associate's degree,free/reduced,none,45,46,42
male,group B,high school,standard,none,79,79,62
male,group C,associate's degree,free/reduced,none,62,67,63
female,group E,some high school,standard,completed,82,100,100
female,group D,some high school,standard,none,68,54,47
female,group B,bachelor's degree,standard,none,74,79,72
female,group D,high school,standard,completed,95,90,97
male,group C,bachelor's degree,standard,completed,88,90,86
female,group D,high school,free/reduced,none,67,72,65
female,group B,associate's degree,free/reduced,completed,75,71,78
female,group D,associate's degree,free/reduced,none,55,50,39
female,group C,some college,free/reduced,none,81,80,89
female,group E,high school,standard,none,55,60,60
male,group C,high school,standard,completed,80,68,85
male,group D,some high school,standard,completed,57,55,50
female,group E,high school,standard,none,67,60,59
male,group B,associate's degree,standard,none,81,86,85
female,group E,bachelor's degree,standard,none,78,71,70
female,group D,bachelor's degree,standard,none,93,88,84
male,group A,associate's degree,standard,none,76,74,63
male,group C,associate's degree,free/reduced,completed,47,52,56
female,group D,associate's degree,free/reduced,completed,75,80,82
female,group A,high school,standard,completed,73,77,62
female,group C,bachelor's degree,free/reduced,completed,84,92,81
male,group C,associate's degree,free/reduced,none,69,64,69
female,group D,some college,standard,completed,58,63,54
female,group A,some high school,standard,none,66,72,65
female,group E,some college,standard,none,88,100,94
male,group E,some college,free/reduced,none,72,61,57
female,group E,bachelor's degree,free/reduced,none,67,75,58
female,group D,some college,standard,none,78,80,82
male,group B,some college,standard,none,70,71,66
female,group D,master's degree,standard,completed,83,100,93
female,group A,some high school,standard,none,45,56,56
male,group A,some college,standard,none,68,71,75
female,group C,some high school,free/reduced,completed,70,69,91
male,group C,associate's degree,free/reduced,none,51,66,54
male,group D,bachelor's degree,free/reduced,none,78,79,88
female,group D,high school,free/reduced,none,49,57,56
female,group C,bachelor's degree,free/reduced,none,67,57,72
female,group B,high school,standard,none,88,89,89
female,group E,bachelor's degree,standard,none,66,76,69
male,group C,associate's degree,standard,none,83,80,81
female,group C,associate's degree,free/reduced,none,62,66,69
male,group B,some high school,standard,none,74,63,62
female,group D,master's degree,free/reduced,none,69,79,72
female,group D,associate's degree,standard,none,82,76,78
female,group B,high school,standard,completed,48,58,51
male,group A,bachelor's degree,standard,none,53,67,60
female,group D,high school,standard,none,84,83,72
female,group D,bachelor's degree,free/reduced,completed,78,74,65
female,group B,some high school,free/reduced,none,68,60,54
female,group E,associate's degree,standard,none,49,55,59
male,group B,some college,standard,none,62,51,53
female,group C,some high school,standard,completed,47,48,57
male,group E,high school,standard,completed,79,76,69
male,group C,some high school,standard,none,51,65,50
male,group D,some college,free/reduced,completed,49,60,60
male,group C,high school,standard,none,63,61,64
male,group B,some college,standard,completed,82,83,86
male,group E,high school,standard,none,90,94,86
female,group C,high school,standard,none,55,52,56
male,group E,associate's degree,standard,completed,98,99,100
male,group B,some high school,standard,none,83,85,75
male,group B,bachelor's degree,standard,none,75,62,71
female,group A,bachelor's degree,standard,completed,86,81,78
female,group D,associate's degree,standard,none,59,61,70
male,group C,some college,standard,none,81,77,76
female,group E,bachelor's degree,standard,none,89,100,96
male,group C,high school,free/reduced,completed,79,77,77
male,group E,some high school,standard,completed,89,79,61
female,group B,high school,standard,none,66,72,56
male,group E,associate's degree,standard,completed,52,65,57
female,group D,some high school,standard,none,59,67,55
female,group D,some college,standard,completed,99,86,92
male,group D,master's degree,free/reduced,none,49,58,50
male,group D,bachelor's degree,free/reduced,none,53,52,50
female,group D,some college,standard,completed,83,73,72
male,group B,some high school,standard,none,60,53,47
male,group A,bachelor's degree,standard,none,67,62,70
male,group E,some college,free/reduced,none,55,59,53
female,group C,some high school,standard,completed,55,50,53
female,group D,some high school,standard,none,61,61,49
male,group C,bachelor's degree,standard,none,86,90,83
female,group B,associate's degree,standard,none,55,45,57
female,group B,bachelor's degree,standard,none,62,62,35
female,group D,bachelor's degree,standard,none,66,63,71
female,group C,some college,standard,completed,80,92,94
female,group B,some college,free/reduced,completed,61,70,63
male,group C,some college,standard,none,59,65,56
male,group A,high school,standard,none,68,68,63
male,group C,some college,free/reduced,none,48,52,37
female,group B,associate's degree,standard,none,73,71,77
female,group D,associate's degree,standard,completed,84,88,72
male,group C,bachelor's degree,standard,none,66,77,61
female,group C,some college,standard,none,81,87,89
male,group A,associate's degree,free/reduced,completed,47,75,55
male,group A,associate's degree,standard,none,84,83,90
male,group C,some college,standard,completed,77,86,81
female,group C,associate's degree,standard,none,71,68,55
female,group C,high school,standard,completed,76,84,78
male,group B,some college,free/reduced,completed,59,72,70
male,group D,some high school,standard,completed,95,87,85
male,group E,some college,standard,completed,65,73,65
male,group D,some college,free/reduced,none,54,53,56
female,group A,associate's degree,standard,none,84,76,86
female,group C,master's degree,free/reduced,none,58,62,70
male,group B,associate's degree,free/reduced,none,75,82,78
male,group B,associate's degree,free/reduced,none,86,96,77
female,group E,some college,standard,none,55,66,60
female,group B,associate's degree,standard,none,77,88,95
male,group C,some high school,free/reduced,none,43,40,49
male,group C,high school,standard,none,79,75,89
male,group D,high school,standard,completed,85,77,85
female,group C,some college,free/reduced,none,63,70,70
female,group A,some high school,free/reduced,none,48,55,53
female,group C,some high school,standard,none,44,51,43
male,group C,high school,standard,none,70,72,61
male,group A,master's degree,standard,completed,56,61,60
female,group C,high school,free/reduced,none,61,60,64
female,group A,some college,free/reduced,none,66,71,70
male,group A,high school,standard,completed,80,78,79
female,group C,associate's degree,standard,none,85,95,98
female,group B,high school,free/reduced,none,69,75,67
male,group C,high school,standard,none,59,61,55
female,group D,some college,standard,completed,87,79,71
male,group D,some high school,free/reduced,none,56,59,53
male,group B,some high school,standard,none,35,56,37
male,group B,high school,standard,none,46,50,49
male,group B,some high school,standard,none,61,56,65
male,group D,some high school,standard,none,47,59,34
male,group D,high school,free/reduced,none,63,58,62
male,group A,associate's degree,standard,none,70,61,63
female,group E,some college,free/reduced,completed,55,58,59
male,group A,some college,standard,completed,78,71,89
male,group C,high school,standard,none,83,76,79
female,group D,bachelor's degree,standard,completed,74,98,86
female,group E,some college,standard,none,61,57,62
female,group D,some high school,standard,none,64,62,63
male,group D,associate's degree,standard,none,79,71,89
female,group C,some high school,standard,completed,77,84,72
male,group D,high school,standard,completed,66,73,69
male,group A,some college,free/reduced,none,65,66,72
male,group E,bachelor's degree,free/reduced,completed,81,96,88
male,group C,some college,free/reduced,none,53,67,62
female,group D,associate's degree,standard,completed,95,100,100
female,group C,master's degree,standard,completed,85,78,89
male,group D,some high school,free/reduced,none,57,48,56
male,group C,high school,standard,completed,64,63,59
male,group D,some college,standard,none,83,71,67
female,group A,some college,free/reduced,none,33,43,43
male,group A,some college,free/reduced,none,48,58,56
male,group B,bachelor's degree,standard,none,55,69,57
female,group B,associate's degree,standard,completed,80,89,69
female,group E,associate's degree,free/reduced,completed,84,86,88
male,group B,high school,standard,none,81,83,85
female,group E,bachelor's degree,free/reduced,completed,59,51,51
female,group C,master's degree,free/reduced,completed,85,100,100
male,group B,bachelor's degree,free/reduced,none,73,79,74
female,group D,some high school,standard,completed,61,66,66
male,group D,associate's degree,standard,none,70,87,77
female,group C,some high school,free/reduced,completed,63,63,72
male,group C,high school,standard,none,55,58,56
male,group D,some high school,free/reduced,none,71,64,56
male,group B,associate's degree,standard,none,70,68,61
female,group E,associate's degree,standard,completed,74,83,76
male,group E,some high school,free/reduced,none,58,54,48
female,group D,some college,free/reduced,none,35,40,47
male,group B,some college,free/reduced,none,55,72,67
male,group D,high school,free/reduced,completed,60,83,82
female,group A,some high school,standard,none,69,61,77
male,group A,some college,free/reduced,none,72,75,73
male,group B,associate's degree,free/reduced,none,68,62,61
female,group C,some high school,standard,none,62,57,55
male,group E,some high school,standard,completed,75,79,83
male,group D,high school,standard,completed,64,65,47
male,group D,bachelor's degree,standard,none,65,65,70
male,group C,associate's degree,free/reduced,none,56,48,54
female,group C,associate's degree,standard,completed,80,98,94
female,group C,high school,standard,none,82,71,85
male,group E,some college,standard,completed,76,86,79
female,group A,some high school,standard,none,78,75,80
male,group E,associate's degree,standard,completed,71,67,67
female,group C,bachelor's degree,standard,none,79,82,76
male,group C,associate's degree,free/reduced,none,56,69,58
male,group D,bachelor's degree,standard,completed,91,100,100
male,group C,associate's degree,standard,none,62,70,66
male,group E,some high school,standard,none,70,64,63
male,group E,bachelor's degree,free/reduced,none,71,74,63
male,group C,some high school,standard,none,85,79,81
female,group B,some college,free/reduced,none,50,60,61
male,group C,some high school,free/reduced,none,54,61,58
female,group E,some high school,free/reduced,none,41,38,44
male,group B,some college,standard,none,46,43,40
female,group D,high school,free/reduced,completed,64,76,86
female,group D,some college,standard,none,82,74,64
female,group D,some college,free/reduced,none,62,61,70
male,group B,some high school,standard,completed,38,60,44
male,group D,some high school,standard,none,60,66,59
female,group E,some college,standard,none,37,43,39
male,group B,high school,standard,none,86,78,79
female,group B,associate's degree,free/reduced,none,43,49,51
male,group E,associate's degree,standard,none,93,95,78
female,group B,bachelor's degree,standard,none,85,87,90
female,group E,associate's degree,standard,none,60,58,48
male,group C,some college,free/reduced,none,52,55,52
female,group B,associate's degree,free/reduced,none,73,67,67
male,group E,high school,free/reduced,none,50,63,43
female,group C,high school,free/reduced,none,57,73,63
female,group C,associate's degree,standard,completed,62,71,63
male,group C,some college,standard,none,45,45,46
male,group C,associate's degree,free/reduced,none,33,25,29
male,group B,bachelor's degree,standard,none,78,69,78
female,group C,bachelor's degree,standard,none,66,60,60
male,group E,bachelor's degree,standard,none,72,69,63
female,group B,some college,standard,none,75,77,78
female,group D,high school,standard,completed,89,82,84
male,group C,some college,free/reduced,none,65,61,59
male,group D,some college,standard,completed,75,77,63
female,group B,associate's degree,standard,none,78,81,79
female,group E,associate's degree,standard,none,52,45,64
male,group C,associate's degree,free/reduced,none,62,69,84
male,group B,some college,standard,none,72,69,75
male,group A,some high school,free/reduced,none,63,75,71
male,group B,some college,free/reduced,completed,49,55,38
male,group C,some high school,standard,none,57,52,63
female,group C,bachelor's degree,free/reduced,completed,53,63,71
female,group D,high school,free/reduced,completed,78,70,68
female,group C,some high school,free/reduced,none,66,54,72
female,group B,some high school,free/reduced,none,68,82,75
male,group C,associate's degree,standard,none,64,65,61
male,group D,associate's degree,standard,none,67,72,66
male,group B,high school,standard,none,93,76,73
female,group B,some high school,standard,none,64,67,73
female,group A,some college,free/reduced,none,83,72,71
male,group D,high school,standard,none,81,66,63
male,group D,associate's degree,free/reduced,completed,52,54,54
female,group C,associate's degree,free/reduced,completed,52,65,62
female,group D,high school,free/reduced,completed,41,49,47
male,group D,high school,free/reduced,none,67,72,60
male,group C,master's degree,standard,none,91,90,86
female,group E,some college,standard,none,97,85,90
male,group B,associate's degree,standard,none,89,81,73
male,group B,some high school,standard,none,77,84,71
male,group B,some college,standard,completed,58,64,82
female,group A,some high school,standard,completed,60,66,54
female,group C,some college,free/reduced,none,73,71,71
female,group E,master's degree,standard,none,83,80,78
female,group A,some college,standard,none,70,75,66
female,group B,some high school,free/reduced,none,64,63,67
female,group C,some high school,standard,none,80,71,73
female,group E,some college,standard,none,88,84,81
male,group C,some high school,free/reduced,none,72,78,67
male,group C,some high school,standard,completed,77,67,87
male,group A,associate's degree,free/reduced,none,72,66,74
male,group B,some college,standard,completed,93,88,93
male,group E,high school,free/reduced,none,53,64,41
male,group E,bachelor's degree,standard,none,83,79,83
male,group A,some high school,standard,none,48,49,58
female,group E,master's degree,standard,none,96,92,86
female,group D,high school,free/reduced,none,57,54,45
male,group E,bachelor's degree,standard,completed,87,74,87
male,group C,associate's degree,standard,completed,69,65,65
female,group C,bachelor's degree,free/reduced,none,72,75,72
male,group C,master's degree,free/reduced,none,53,77,68
male,group D,high school,standard,completed,61,72,52
female,group B,master's degree,free/reduced,none,74,76,83
male,group A,some college,standard,none,66,55,63
female,group C,some college,standard,none,77,83,80
male,group D,high school,standard,completed,73,84,79
female,group B,some college,free/reduced,completed,70,79,75
female,group D,some high school,free/reduced,none,53,45,42
female,group E,some college,standard,completed,67,77,66
male,group A,some college,standard,completed,84,77,71
female,group D,associate's degree,standard,none,85,76,73
male,group C,bachelor's degree,free/reduced,none,78,92,85
male,group E,some college,free/reduced,none,51,62,50
male,group B,high school,standard,completed,84,96,100
male,group D,high school,free/reduced,none,21,37,18
female,group D,high school,free/reduced,completed,61,55,54
female,group E,some high school,standard,none,60,63,62
male,group D,high school,standard,completed,62,53,59
male,group C,high school,standard,none,51,52,51
female,group C,master's degree,free/reduced,none,65,69,76
male,group E,some college,free/reduced,completed,62,77,65
female,group C,high school,standard,completed,85,79,66
male,group A,some college,free/reduced,completed,70,89,81
male,group E,some high school,standard,none,55,73,62
female,group D,some college,standard,completed,83,79,80
male,group D,associate's degree,free/reduced,none,61,75,61
female,group B,some college,free/reduced,none,48,61,59
male,group D,some college,standard,none,88,88,95
male,group C,master's degree,standard,none,74,66,70
male,group D,bachelor's degree,standard,none,65,62,58
female,group B,associate's degree,standard,completed,83,79,69
male,group D,some college,standard,none,50,55,59
male,group E,associate's degree,standard,completed,76,85,84
male,group A,high school,free/reduced,none,68,69,63
male,group E,some college,standard,none,67,58,57
female,group C,some high school,free/reduced,none,39,53,52
female,group E,some college,free/reduced,completed,57,65,72
male,group D,some college,standard,completed,86,91,80
female,group C,high school,standard,completed,86,80,82
male,group D,master's degree,free/reduced,completed,95,100,100
male,group E,bachelor's degree,standard,none,84,96,86
male,group C,associate's degree,free/reduced,none,73,83,73
female,group C,some college,free/reduced,completed,58,55,61
female,group D,bachelor's degree,free/reduced,none,75,79,74
female,group D,some high school,free/reduced,none,57,61,49
female,group D,associate's degree,standard,none,65,61,51
female,group D,some high school,standard,none,77,72,73
female,group C,associate's degree,standard,none,79,86,85
female,group D,high school,standard,none,83,84,72
female,group B,bachelor's degree,standard,none,65,72,59
female,group C,bachelor's degree,standard,none,82,80,78
male,group A,some high school,free/reduced,none,66,59,44
female,group C,some college,standard,none,67,67,68
female,group C,master's degree,standard,completed,77,86,68
female,group C,some college,standard,none,60,65,60
female,group D,bachelor's degree,standard,none,89,78,80
female,group C,some college,standard,completed,74,67,68
female,group C,some college,standard,none,100,78,91
female,group B,high school,standard,none,54,36,48
female,group C,high school,standard,completed,67,68,76
female,group B,associate's degree,free/reduced,none,65,72,75
female,group A,some college,free/reduced,completed,65,78,81
female,group C,some college,free/reduced,completed,79,63,70
male,group D,some college,standard,none,73,65,61
male,group C,some college,free/reduced,none,63,73,72
female,group C,bachelor's degree,free/reduced,none,71,71,75
female,group C,master's degree,standard,none,88,94,94
male,group E,some college,free/reduced,none,74,83,84
